Year,Disease,Gender,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2017,Poliomyelitis (polio) and Acute Flaccid Paralysis,Male,1,0.35,N/A,0.04,N/A
2017,Powassan Virus,Male,0,0.00,N/A,0.00,N/A
2017,Psittacosis/Ornithosis,Male,0,0.00,N/A,0.00,N/A
2017,Q Fever,Male,1,0.35,N/A,0.13,N/A
2017,Rabies,Male,0,0.00,N/A,0.00,N/A
2017,Rubella,Male,0,0.00,N/A,0.00,N/A
2017,"Rubella, congenital syndrome",Male,0,0.00,N/A,0.00,N/A
2017,Salmonellosis,Male,45,15.93,N/A,18.58,N/A
2017,Severe acute respiratory syndrome (SARS),Male,0,0.00,N/A,0.00,N/A
2017,Shigellosis,Male,3,1.06,N/A,3.18,N/A
2017,Smallpox,Male,0,0.00,N/A,0.00,N/A
2017,"Streptococcus Pneumoniae, Invasive ",Male,31,10.97,N/A,8.81,N/A
2017,Syphilis - Early Congenital,Male,0,0.00,N/A,0.01,N/A
2017,Syphilis - Infectious,Male,22,7.79,N/A,22.17,N/A
2017,Syphilis - Late Latent,Male,13,4.60,N/A,7.03,N/A
2017,Tetanus,Male,0,0.00,N/A,0.01,N/A
2017,Trichinosis,Male,0,0.00,N/A,0.04,N/A
2017,Tuberculosis (active),Male,21,7.43,N/A,5.30,N/A
2017,Tuberculosis (latent),Male,118,41.76,N/A,46.65,N/A
2017,Syphilis - Other,Male,0,0.00,N/A,0.95,N/A
2017,West Nile virus (WNv),Male,1,0.35,N/A,1.37,N/A
2017,AIDS,Female,0,0.00,N/A,0.17,N/A
2017,Amebiasis,Female,3,1.06,N/A,2.55,N/A
2017,Anaplasmosis,Female,0,0.00,N/A,0.00,N/A
2017,Anthrax,Female,0,0.00,N/A,0.00,N/A
2017,Babesiosis,Female,0,0.00,N/A,0.00,N/A
2017,Blastomycosis,Female,0,0.00,N/A,0.00,N/A
2017,Botulism,Female,0,0.00,N/A,0.00,N/A
2017,Brucellosis,Female,0,0.00,N/A,0.03,N/A
2017,Campylobacter enteritis,Female,69,24.39,N/A,22.60,N/A
2017,Chancroid,Female,0,0.00,N/A,0.00,N/A
2017,Chickenpox (Varicella),Female,5,1.77,N/A,1.57,N/A
