Year,Disease,Age Group,WR Count,WR Crude Rate per 100000,WR 5 Year Average Rate,ON Crude Rate per 100000,ON 5 Year Average Rate
2015,Hepatitis A,30-39,0,0.00,N/A,0.67,N/A
2015,Hepatitis B (acute),30-39,0,0.00,N/A,0.67,N/A
2015,Hepatitis B (chronic),30-39,19,25.30,N/A,32.24,N/A
2015,Hepatitis C,30-39,27,35.96,N/A,51.15,N/A
2015,HIV,30-39,3,4.00,N/A,12.10,N/A
2015,Influenza,30-39,19,25.30,N/A,27.50,N/A
2015,Legionellosis,30-39,0,0.00,N/A,0.17,N/A
2015,Leprosy,30-39,0,0.00,N/A,0.22,N/A
2015,Listeriosis,30-39,0,0.00,N/A,0.17,N/A
2015,Lyme Disease,30-39,0,0.00,N/A,1.95,N/A
2015,Measles,30-39,0,0.00,N/A,0.28,N/A
2015,Tularemia,30-39,0,0.00,N/A,0.00,N/A
2015,Typhoid Fever/Paratyphoid Fever,30-39,0,0.00,N/A,0.89,N/A
2015,Verotoxin-producing E. coli,30-39,2,2.66,N/A,0.95,N/A
2015,Yersiniosis,30-39,1,1.33,N/A,1.39,N/A
2015,"Meningococcal disease, invasive",30-39,0,0.00,N/A,0.28,N/A
2015,Mpox,30-39,0,0.00,N/A,0.00,N/A
2015,Mumps,30-39,0,0.00,N/A,0.06,N/A
2015,Ophthalmia Neonatorum,30-39,0,0.00,N/A,0.00,N/A
2015,Paralytic Shellfish Poisoning,30-39,0,0.00,N/A,0.00,N/A
2015,Pertussis,30-39,3,4.00,N/A,2.57,N/A
2015,Poliomyelitis (polio) and Acute Flaccid Paralysis,30-39,0,0.00,N/A,0.00,N/A
2015,Powassan Virus,30-39,0,0.00,N/A,0.00,N/A
2015,Psittacosis/Ornithosis,30-39,0,0.00,N/A,0.00,N/A
2015,Q Fever,30-39,0,0.00,N/A,0.06,N/A
2015,Rabies,30-39,0,0.00,N/A,0.00,N/A
2015,Rubella,30-39,0,0.00,N/A,0.00,N/A
2015,"Rubella, congenital syndrome",30-39,0,0.00,N/A,0.00,N/A
2015,Salmonellosis,30-39,17,22.64,N/A,16.34,N/A
2015,Severe acute respiratory syndrome (SARS),30-39,0,0.00,N/A,0.00,N/A
2015,Shigellosis,30-39,3,4.00,N/A,2.57,N/A
2015,Smallpox,30-39,0,0.00,N/A,0.00,N/A
2015,"Streptococcus Pneumoniae, Invasive ",30-39,1,1.33,N/A,2.62,N/A
2015,Syphilis - Early Congenital,30-39,0,0.00,N/A,0.00,N/A
2015,Syphilis - Infectious,30-39,7,9.32,N/A,17.29,N/A
2015,Syphilis - Late Latent,30-39,3,4.00,N/A,4.69,N/A
2015,Tetanus,30-39,0,0.00,N/A,0.00,N/A
2015,Trichinosis,30-39,0,0.00,N/A,0.00,N/A
2015,Tuberculosis (active),30-39,2,2.66,N/A,5.97,N/A
2015,Tuberculosis (latent),30-39,46,61.26,N/A,100.84,N/A
2015,Syphilis - Other,30-39,0,0.00,N/A,0.45,N/A
2015,West Nile virus (WNv),30-39,0,0.00,N/A,0.17,N/A
2015,AIDS,40-49,1,1.32,N/A,1.06,N/A
2015,Amebiasis,40-49,4,5.30,N/A,9.19,N/A
2015,Anaplasmosis,40-49,0,0.00,N/A,0.00,N/A
2015,Anthrax,40-49,0,0.00,N/A,0.00,N/A
2015,Babesiosis,40-49,0,0.00,N/A,0.00,N/A
2015,Blastomycosis,40-49,0,0.00,N/A,0.00,N/A
2015,Botulism,40-49,0,0.00,N/A,0.00,N/A
2015,Brucellosis,40-49,0,0.00,N/A,0.11,N/A
2015,Campylobacter enteritis,40-49,18,23.83,N/A,19.75,N/A
2015,Chancroid,40-49,0,0.00,N/A,0.00,N/A
2015,Chickenpox (Varicella),40-49,0,0.00,N/A,1.33,N/A
2015,Chlamydia,40-49,53,70.18,N/A,110.50,N/A
2015,Cholera,40-49,0,0.00,N/A,0.05,N/A
2015,Creutzfeldt-Jakob Disease,40-49,0,0.00,N/A,0.05,N/A
